,Game_ID,Home_Team,Away_Team,GAMES_LEFT,Team_ID,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Home,FGMiss,Tot_Prev_Points,Tot_Prev_Ast,Tot_OREB,Tot_TOV,Tot_FGMiss,Tot_FGMade,Tot_Opp_Prev_Points,Tot_Opp_OREB,Tot_Opp_FGMiss,Tot_Opp_TOV,Tot_Prev_Poss,Tot_Opp_Prev_Poss,ORTG,OREBRTG,TOVRTG,ASTRTG,DRTG,DTOVRTG,DREBRTG,Home_ORTG,Away_ORTG,Home_DRTG,Away_DRTG,Home_OREBRTG,Away_OREBRTG,Home_DREBRTG,Away_DREBRTG,Home_TOVRTG,Away_TOVRTG,Home_DTOVRTG,Away_DTOVRTG,Home_ASTRTG,Away_ASTRTG,Home_Win,Spread,Back_To_Back,Home_Team_B2B,Away_Team_B2B,Home_DASTRTG,Away_DASTRTG,Season
16805,0022100147,PHI,NYK,142,3221225507,15.0,7.0,1.363,480,75,182,0.825,26,80,0.65,23,29,1.5819999999999999,26,76,102,45,11,10,21,31,199,1,107,2237,461,185,255,904,818,2133,226,1006,258,1969,1967,227.29706909116433,40.71008537755579,25.916050942527598,112.68884703912953,216.8004285897494,26.23912494880504,44.98893105629348,115.3686396677051,111.92842942345924,106.43153526970954,110.36889332003987,18.85441527446301,21.855670103092784,24.596774193548388,20.392156862745097,13.291796469366563,12.624254473161034,13.278008298755188,12.961116650049851,57.6271186440678,55.06172839506173,0,-7,1,0,1,59.947643979057595,65.07537688442211,21
16812,0022100154,LAL,CHA,141,3221225513,11.0,12.0,0.962,530,87,190,0.9179999999999999,27,74,0.7390000000000001,48,63,1.535,22,84,106,53,16,11,33,46,249,1,103,2349,524,230,304,1070,891,2407,239,1015,346,2185,2188,214.8197848899273,42.92314448836188,27.93955232398101,117.3740454931114,219.71301502477343,31.630458712217283,47.1126213592233,105.05725190839695,109.76253298153034,106.30372492836678,113.40929009640665,21.01010101010101,21.913043478260867,24.2,22.9126213592233,15.362595419847327,12.576956904133684,15.854823304680037,15.775635407537248,56.132075471698116,61.24197002141327,1,3,1,0,1,63.08068459657702,61.016949152542374,21
16813,0022100155,PHI,MIL,141,3221225504,13.0,10.0,1.122,480,86,198,0.871,29,82,0.7110000000000001,26,33,1.631,25,73,98,42,12,13,15,30,227,1,112,2274,469,190,269,981,839,2215,237,1042,280,2071,2075,219.41793136393238,38.723112128146454,25.982974403758917,111.55348008768723,213.49977322239818,26.99554995427271,45.26692888667294,114.19110690633869,105.22682445759368,106.61000944287062,106.88976377952757,19.157894736842103,19.565217391304348,24.862888482632542,20.404040404040405,12.866603595080417,13.116370808678502,13.314447592067987,13.681102362204726,57.58928571428571,53.96419437340153,0,-9,1,1,0,60.18957345971564,56.79012345679012,21
16814,0022100156,UTA,ATL,141,3221225499,12.0,11.0,1.06,480,78,166,0.9410000000000001,33,73,0.909,19,26,1.4129999999999998,14,62,76,43,14,9,25,38,208,1,88,2308,449,237,283,1029,840,2253,194,1036,249,2089,2087,221.26424521726656,46.07488565046272,27.174182894153695,106.56454394863124,215.49682232660956,23.864511375149675,37.468671679197996,113.28600405679514,107.97824116047143,103.95136778115501,111.54545454545455,23.10924369747899,22.965641952983727,19.047619047619047,18.421052631578945,14.300202839756594,12.8739800543971,11.955420466058763,11.90909090909091,50.63613231552163,55.92841163310962,1,12,1,0,1,51.406649616368284,63.21585903083701,21
16816,0022100158,CLE,WAS,141,3221225503,15.0,8.0,1.31,480,70,160,0.878,19,59,0.647,32,38,1.714,18,71,89,46,16,6,26,38,191,1,90,2269,504,207,309,984,846,2213,244,1081,269,2107,2112,215.35471331389698,41.886124528551576,29.27378743705274,118.89796375027971,209.47531847491013,25.412031822811734,45.0476738451422,108.16326530612245,107.19144800777454,106.35944700460828,103.11587147030185,23.818897637795274,18.067226890756302,24.593128390596743,20.454545454545457,15.862708719851575,13.411078717201166,13.82488479262673,11.587147030185005,63.53211009174312,55.365853658536594,0,-3,0,0,0,58.05739514348785,52.119700748129674,21
16817,0022100159,ORL,BKN,140,3221225504,11.0,13.0,0.917,480,81,183,0.885,20,70,0.5529999999999999,31,41,1.549,20,78,98,48,18,8,32,36,213,1,102,2262,498,181,337,1037,825,2337,241,1134,256,2182,2181,207.30739402270495,34.74785343748137,30.907954294337543,120.61826565661318,214.34959212850055,23.480447397191156,42.60087173100872,102.50231696014829,104.80507706255666,109.71322849213692,104.63636363636364,19.223659889094268,15.524193548387096,22.90909090909091,19.69178082191781,16.311399443929563,14.596554850407978,12.0259019426457,11.454545454545455,58.35411471321695,62.264150943396224,0,-33,0,0,0,61.69724770642202,52.87356321839081,21
16818,0022100160,BOS,TOR,141,3221225499,11.0,12.0,0.9550000000000001,480,75,171,0.876,16,54,0.585,26,34,1.509,18,67,85,41,18,13,33,30,192,1,96,2240,451,252,265,1095,838,2222,212,995,336,2109,2102,212.38005806862458,45.68394648829432,25.14544139710089,108.02275570177693,211.43240025171926,31.927055744948635,42.60938434434046,104.51488952929876,107.86516853932584,106.26808100289296,105.1643192488263,19.423076923076923,26.260869565217394,21.47117296222664,21.138211382113823,13.160422670509126,11.985018726591761,14.368370298939247,17.558685446009388,57.68261964735516,50.34013605442177,1,16,0,0,0,53.904282115869016,60.1965601965602,21
16819,0022100161,NYK,MIL,140,3221225501,13.0,11.0,1.083,480,76,173,0.878,42,87,0.952,18,26,1.373,20,68,88,48,13,14,24,34,212,1,97,2414,480,231,281,1093,880,2398,230,1122,284,2215,2211,217.99922381644237,42.31624641603473,25.37280455013151,109.06367041198502,216.93381165214743,25.685687586022922,40.998296768945266,111.62579473206176,106.3734290843806,109.66271649954422,107.27109515260322,22.388059701492537,19.92818671454219,20.49469964664311,20.503597122302157,12.715712988192552,12.657091561938957,12.579762989972654,13.10592459605027,55.73033707865168,53.333333333333336,0,-12,1,0,1,64.43418013856814,56.152125279642064,21
16821,0022100163,CHI,DAL,142,3221225483,15.0,7.0,1.363,480,83,172,0.964,27,64,0.848,31,38,1.649,16,73,89,49,18,6,23,31,224,1,89,2113,434,198,248,967,780,2066,191,958,287,1975,1974,213.94465945939294,40.925553319919516,25.12034342228594,111.20047916488406,209.3409187963997,29.066955193482688,39.867150179573905,109.66767371601209,104.27698574338085,102.72177419354837,106.61914460285134,20.0,20.92555331991952,20.539419087136928,19.327731092436977,11.983887210473315,13.136456211812627,15.625,13.441955193482688,56.82382133995038,54.37665782493368,1,10,0,0,0,52.219321148825074,59.5,21
16822,0022100164,MEM,CHA,140,3221225529,12.0,12.0,1.0070000000000001,480,86,197,0.877,24,74,0.6539999999999999,30,39,1.475,29,77,106,59,27,15,33,34,226,1,111,2470,561,264,296,1154,924,2558,224,1029,336,2263,2264,218.16963474827247,45.896373779214755,26.20675222112537,121.45780051150896,225.9109068801617,29.510635274053726,43.40493953226089,108.48963474827247,109.68,112.67326732673266,113.23763955342902,23.709369024856596,22.18700475435816,20.985010706638114,22.419928825622776,13.326752221125371,12.879999999999999,13.960396039603962,15.550239234449762,60.86956521739131,60.588235294117645,0,-10,0,0,0,64.96519721577727,61.627906976744185,21
